zoom,epoch,batch_id,theta_x,theta_y,theta_z,loss,phi,gamma,rho
4,0,0,0.48026803,-0.2754891,0.08471945,6.125,0.0,0.0,0.0
4,0,1,0.12089283,0.11043196,-0.056868903,4.0625,-0.023118145763874054,0.011464482173323631,0.033065903931856155
4,0,2,0.1746111,-0.4432131,0.094673246,4.8125,-0.027525821700692177,-0.02315070666372776,0.023253586143255234
4,0,3,0.16916981,0.48443657,-0.09144426,6.5625,-0.03504288196563721,0.029598165303468704,0.02582623064517975
4,0,4,0.10797048,-1.2625258,0.54659057,8.3125,-0.04926878213882446,-0.08883004635572433,0.020364081487059593
4,0,5,-0.046697736,0.81873006,0.40503973,9.375,-0.05685233324766159,0.11571133136749268,0.011119226925075054
4,0,6,0.20829032,-1.7581218,1.616078,8.875,-0.07743615657091141,-0.19908611476421356,-0.0014092463534325361
4,0,7,0.08236196,0.1099154,1.3780258,8.875,-0.07249055057764053,0.06784430891275406,0.010595815256237984
4,0,8,0.60609466,-1.4643233,2.153394,7.4375,-0.07359733432531357,-0.2330400049686432,-0.022234512493014336
4,0,9,-0.1664036,-2.5357575,2.4316761,5.8125,-0.08883512765169144,-0.10125388950109482,0.04449112340807915
4,0,10,0.9237183,-0.7634676,2.4266222,8.4375,-0.06905438005924225,0.07017210125923157,-0.06176352500915527
4,0,11,-0.8925014,-2.6030478,3.6444476,7.9375,-0.10601401329040527,-0.22817875444889069,0.09689577668905258
4,0,12,-0.020066561,-2.469368,3.8233294,6.0625,-0.06762700527906418,-0.10764890909194946,-0.08228980749845505
4,0,13,-0.010444901,-2.1009912,3.6847951,4.25,-0.10024337470531464,-0.07093723863363266,0.025778498500585556
4,0,14,-0.2738544,-2.0644896,3.5819852,5.0,-0.093992680311203,-0.08223716914653778,0.025895506143569946
4,0,15,-0.19134052,-1.4764997,3.4357584,3.875,-0.08175461739301682,-0.04199874773621559,-0.009361823089420795
4,0,16,-0.10340855,-1.9561299,3.464407,5.9375,-0.08688417822122574,-0.08371765166521072,0.007545969914644957
4,0,17,-0.66340494,0.57535726,3.0099735,8.5,-0.08786901831626892,0.04373743385076523,0.02210294082760811
4,0,18,0.5019175,-1.4358915,4.0260534,9.5625,-0.10084587335586548,-0.29764702916145325,-0.05239623785018921
4,0,19,-0.6061188,-2.6383426,4.3653836,6.0625,-0.1455538272857666,-0.15070530772209167,0.07330162078142166
4,0,20,0.6216848,-0.7498082,4.4344025,7.5625,-0.09224597364664078,0.02096809819340706,-0.10412797331809998
4,0,21,-0.9277337,-2.7707307,5.3823776,8.25,-0.16074545681476593,-0.2549913823604584,0.07713429629802704
4,0,22,0.0015877914,-2.361688,5.5888357,6.25,-0.09940383583307266,-0.0739670917391777,-0.1405463069677353
4,0,23,0.095923945,-2.4128847,5.577563,5.1875,-0.12352955341339111,-0.10594992339611053,-0.027974171563982964
4,1,0,-0.046498075,-1.6822201,5.3927755,4.25,-0.12034943699836731,-0.0500294528901577,-0.005554279312491417
4,1,1,0.056583952,-2.2770102,5.485999,5.5625,-0.11821556091308594,-0.10646675527095795,-0.014646174386143684
4,1,2,-0.06371348,-0.90776867,5.2308655,7.5,-0.1165081113576889,0.02780020795762539,0.0036711925640702248
4,1,3,0.19686918,-2.2082274,5.5321336,5.9375,-0.12125128507614136,-0.17549851536750793,-0.009599405340850353
4,1,4,-0.12486297,-0.99298376,5.2765837,7.0,-0.14090533554553986,0.010761847719550133,0.02275594137609005
4,1,5,-0.030292483,-1.7499232,5.404136,5.9375,-0.12950833141803741,-0.14931266009807587,-0.01981872320175171
4,1,6,-0.05109084,-1.1278156,5.249404,4.125,-0.1367572844028473,-0.020978186279535294,0.004565718118101358
4,1,7,-0.12702829,-1.1894754,5.1829085,5.3125,-0.1324581503868103,-0.0809047520160675,0.006506521254777908
4,1,8,-0.07302015,-0.5617929,4.995801,4.0,-0.12111655622720718,-0.017842844128608704,-0.0015571077819913626
4,1,9,-0.057394806,-1.1283519,5.060876,6.0625,-0.11584458500146866,-0.07906383275985718,0.009469784796237946
4,1,10,-0.23988377,0.5370972,4.6944737,6.875,-0.10715974867343903,0.03584546595811844,0.007772401906549931
4,1,11,0.10722774,-1.478803,5.361642,8.25,-0.1147480234503746,-0.22532449662685394,-0.01975979469716549
4,1,12,-0.056424923,-1.0960518,5.217224,4.1875,-0.1441129595041275,-0.03721068799495697,0.022442013025283813
4,1,13,-0.14752714,-0.8752927,5.081718,4.3125,-0.13905124366283417,-0.06076713278889656,0.012108893133699894
4,1,14,-0.15519422,-0.8168228,4.9944673,3.9375,-0.12351834028959274,-0.05020947381854057,-0.0024668509140610695
4,1,15,-0.08622833,-0.45845392,4.8580647,2.9375,-0.11438080668449402,-0.029852014034986496,-0.006161585915833712
4,1,16,-0.08430877,-0.5151279,4.8057466,4.3125,-0.11547042429447174,-0.050618357956409454,0.009558458812534809
4,1,17,-0.07335373,-0.21243489,4.69951,2.75,-0.10575160384178162,-0.022144408896565437,0.005675867199897766
4,1,18,-0.09391912,-0.37187278,4.7017803,3.9375,-0.10366871953010559,-0.048048920929431915,0.01015805546194315
4,1,19,-0.043461397,0.049148355,4.5236897,2.9375,-0.09580468386411667,-0.015111002139747143,0.0036893573123961687
4,1,20,0.051620353,-0.005349349,4.455895,4.9375,-0.09664137661457062,-0.04312075674533844,0.010414998978376389
4,1,21,0.1494263,0.1405969,4.386537,1.875,-0.09556415677070618,-0.020439285784959793,0.014317146502435207
4,1,22,0.011435885,0.18907733,4.3112946,2.5,-0.09716377407312393,-0.028366094455122948,0.02731480821967125
4,1,23,0.07767323,0.2623543,4.220814,2.9375,-0.095768503844738,-0.02435975708067417,0.018869396299123764
4,2,0,0.16012783,0.41784307,4.1139064,2.75,-0.09611182659864426,-0.022493818774819374,0.026702746748924255
4,2,1,-0.020938976,0.32978386,4.0470552,4.1875,-0.0947641134262085,-0.027608122676610947,0.03235768899321556
4,2,2,0.060176846,0.4628259,3.974029,2.5,-0.09069586545228958,-0.009359769523143768,0.011154651641845703
4,2,3,0.065212056,0.5027171,3.8653548,4.3125,-0.09142158925533295,-0.018882250413298607,0.019766708835959435
4,2,4,0.14439298,0.58140963,3.7896047,1.75,-0.09020809829235077,-0.0096850311383605,0.021559948101639748
4,2,5,0.040697724,0.6622679,3.701155,2.5625,-0.09021393954753876,-0.011531603522598743,0.027042757719755173
4,2,6,0.01645863,0.79991513,3.598687,2.9375,-0.08610894531011581,-0.013701412826776505,0.017523640766739845
4,2,7,0.079397894,0.52096504,3.5037522,4.8125,-0.08592791855335236,-0.017089150846004486,0.018657200038433075
4,2,8,0.2148331,0.8267695,3.3192713,2.75,-0.08649157732725143,0.010491722263395786,0.019172457978129387
4,2,9,0.21290818,0.6122088,3.323687,4.0625,-0.08739890158176422,-0.018845519050955772,0.026725633069872856
4,2,10,0.20980258,0.74449867,3.2208707,2.5625,-0.09081785380840302,0.00992505345493555,0.0284272413700819
4,2,11,0.28154203,0.71513075,3.1148894,2.125,-0.08913964778184891,0.00039293390000239015,0.031053319573402405
4,2,12,0.122506775,0.7188054,3.0507438,2.5,-0.09017205238342285,0.0019434166606515646,0.03777562081813812
4,2,13,0.02685804,0.6735138,3.003773,2.75,-0.08825413882732391,-0.0011573659721761942,0.0319090262055397
4,2,14,-0.056233007,0.7651878,2.9088519,2.5,-0.08705994486808777,0.0032365790102630854,0.028466710820794106
4,2,15,-0.06445302,0.6129958,2.8259122,2.875,-0.08741191029548645,-0.002917753765359521,0.029060104861855507
4,2,16,-0.12608768,0.69516504,2.72068,2.0,-0.08788590878248215,0.006739797070622444,0.0325113981962204
4,2,17,-0.17762485,0.7291062,2.671367,2.0625,-0.08702801913022995,0.0028935710433870554,0.03270111232995987
4,2,18,-0.04189071,0.6157551,2.6260204,2.25,-0.08552958071231842,-0.001873332541435957,0.030501605942845345
4,2,19,-0.25894618,0.6807156,2.5055773,2.1875,-0.08969756215810776,0.010068562813103199,0.04037558659911156
4,2,20,-0.19299005,0.6545093,2.4784052,1.75,-0.0876036062836647,0.007212209049612284,0.03294577822089195
4,2,21,-0.09227105,0.82805914,2.3590848,2.3125,-0.08920231461524963,0.008019941858947277,0.038472309708595276
4,2,22,-0.031735778,0.71893764,2.352526,2.25,-0.08881771564483643,-0.003201983170583844,0.04445309191942215
4,2,23,-0.08880074,0.7775781,2.2841253,1.9375,-0.0901322215795517,0.004827124532312155,0.0454128123819828
4,3,0,-0.20592774,0.6583046,2.2908196,2.3125,-0.0897439569234848,0.00121468142606318,0.04322817549109459
4,3,1,-0.27206838,0.7363903,2.2091835,2.1875,-0.08926554769277573,0.0070855277590453625,0.038411423563957214
4,3,2,-0.23473339,0.70592606,2.1814773,2.625,-0.08881724625825882,0.0027473745867609978,0.03579230606555939
4,3,3,-0.180139,0.72426254,2.0998209,2.8125,-0.09220878779888153,0.004090007860213518,0.04401051998138428
4,3,4,-0.18694282,0.778015,1.9643962,2.875,-0.09131670743227005,0.004425054416060448,0.04364321753382683
4,3,5,-0.20952211,0.7737965,1.9001794,1.75,-0.09163222461938858,0.0057532647624611855,0.04319322854280472
4,3,6,-0.19693632,0.777703,1.8657123,1.9375,-0.09078557044267654,0.007585000246763229,0.042322561144828796
4,3,7,-0.1949198,0.6561503,1.8436086,2.3125,-0.09119982272386551,0.0055962009355425835,0.04477979615330696
4,3,8,-0.13594604,0.64968115,1.7964017,1.3125,-0.09291880577802658,0.012397878803312778,0.044286757707595825
4,3,9,-0.10194996,0.7369897,1.6966149,1.4375,-0.09282272309064865,0.012551461346447468,0.046470966190099716
4,3,10,-0.032117065,0.65358263,1.6199749,2.1875,-0.09337835758924484,0.00822773203253746,0.0491672046482563
4,3,11,-0.062584974,0.65810746,1.5883437,1.875,-0.09415303170681,0.012301182374358177,0.05199216678738594
4,3,12,-0.06281049,0.62658614,1.5886115,1.0625,-0.09430558234453201,0.01277097500860691,0.0516996793448925
4,3,13,-0.30985528,0.4919946,1.5283508,1.5,-0.09455204755067825,0.013680057600140572,0.051630377769470215
4,3,14,-0.21915658,0.66618705,1.3958409,2.75,-0.09183601289987564,0.01797790825366974,0.042118754237890244
4,3,15,-0.23121794,0.47405627,1.3973974,2.0625,-0.09198487550020218,0.005328026134520769,0.044917032122612
4,3,16,-0.38833466,0.5290388,1.3383313,1.875,-0.0931297093629837,0.012957572005689144,0.045886002480983734
4,3,17,-0.33663166,0.53047705,1.3013943,2.3125,-0.0898146852850914,0.006930772215127945,0.040633440017700195
4,3,18,-0.33671924,0.58969676,1.2053951,1.6875,-0.09103881567716599,0.0070494068786501884,0.045809946954250336
4,3,19,-0.32645088,0.5715083,1.1404277,2.5625,-0.09209280461072922,0.005728388205170631,0.04690202698111534
4,3,20,-0.25029108,0.7289506,1.034647,2.5,-0.09316194802522659,0.00798186007887125,0.04804883524775505
4,3,21,-0.32651982,0.25888595,1.123947,2.9375,-0.09085805714130402,0.00119193852879107,0.04865047335624695
4,3,22,-0.30933034,0.5118379,1.0379835,4.625,-0.0891534686088562,0.027856644243001938,0.0388430655002594
4,3,23,-0.38023898,0.08696601,1.0209721,4.3125,-0.0870775654911995,-0.013369014486670494,0.03880861774086952
4,4,0,-0.15595442,0.5773329,0.8153046,5.625,-0.08499636501073837,0.024487370625138283,0.031074024736881256
4,4,1,-0.40832475,-0.2776768,1.0168864,5.6875,-0.08462680876255035,-0.025589076802134514,0.041916895657777786
4,4,2,-0.39101863,1.3898824,0.79065293,7.75,-0.08192294836044312,0.05758318305015564,0.010087921284139156
4,4,3,0.004688268,-0.35394263,1.5987921,7.5,-0.10045470297336578,-0.1902967393398285,0.010751110501587391
4,4,4,-0.0683672,-0.16599037,1.4498271,3.1875,-0.11650904268026352,-0.03016817383468151,0.03588158264756203
4,4,5,-0.25232935,-0.35826978,1.4019008,4.375,-0.11185067892074585,-0.03143242746591568,0.02983616478741169
4,4,6,-0.13475765,-0.104351334,1.2812742,2.75,-0.10393507778644562,-0.004019826650619507,0.017050018534064293
4,4,7,0.0060416074,0.14990216,1.0673721,3.6875,-0.10512516647577286,-0.01801498979330063,0.02908644825220108
