zoom,epoch,batch_id,theta_x,theta_y,theta_z,loss,phi,gamma,rho
4,0,0,0.12572806,0.0015031558,0.0011596127,4.3125,0.0,0.0,0.0
4,0,1,0.19914864,-0.045642637,0.016819134,4.6875,-0.005147980991750956,-0.0021318341605365276,0.008764185942709446
4,0,2,0.25410062,-0.05771129,0.040951625,5.25,-0.009327412582933903,-1.6958281776169315e-05,0.014528380706906319
4,0,3,0.28008738,0.01781271,0.012907917,4.25,-0.013130344450473785,0.0010519057977944613,0.017517467960715294
4,0,4,0.26402736,0.0029829347,0.01846773,3.125,-0.01631474308669567,-0.004733980167657137,0.02025066502392292
4,0,5,0.29836974,-0.049214363,0.03065256,4.3125,-0.018390467390418053,-0.003767892252653837,0.020670993253588676
4,0,6,0.3012461,-0.077640116,0.034130983,3.25,-0.02169470489025116,-0.0018804416758939624,0.024463873356580734
4,0,7,0.29216957,-0.07931527,0.039223347,3.625,-0.024615265429019928,0.0013321525184437633,0.026309622451663017
4,0,8,0.28212065,-0.090411134,0.037833344,2.6875,-0.026681551709771156,-0.0010060538770630956,0.02701033465564251
4,0,9,0.2271495,-0.09356398,0.033869237,3.6875,-0.02810594253242016,-0.00272429920732975,0.02702399529516697
4,0,10,0.22434402,-0.10771641,0.040257078,3.3125,-0.030002033337950706,-0.006634832359850407,0.02799658291041851
4,0,11,0.16931991,-0.09435487,0.00910001,2.8125,-0.03149751201272011,-0.004319851286709309,0.029503077268600464
4,0,12,0.13141032,-0.09705452,0.020179674,3.5625,-0.032461244612932205,-0.004706842824816704,0.02966492436826229
4,0,13,0.14792225,-0.11051023,0.015818976,3.125,-0.03382374718785286,-0.004012292716652155,0.029324518516659737
4,0,14,0.16335917,-0.09610355,0.010804664,2.4375,-0.035788264125585556,-0.003638621885329485,0.03188528120517731
4,0,15,0.14953303,-0.08440056,0.0038502882,2.5625,-0.03683590516448021,-0.00452793762087822,0.03263532370328903
4,0,16,0.1313976,-0.062994435,-0.012418719,2.625,-0.0376366525888443,-0.004843039903789759,0.03309035673737526
4,0,17,0.10330843,-0.123602286,0.0015713748,3.25,-0.03875734657049179,-0.0062746452167630196,0.033039361238479614
4,0,18,0.10745996,-0.12781344,0.002114542,2.5,-0.03982759267091751,-0.002493427135050297,0.03305122256278992
4,0,19,0.09770716,-0.14767377,0.021907726,2.8125,-0.041568905115127563,-0.003280092729255557,0.03402535989880562
4,0,20,0.10611867,-0.08968686,0.006918893,2.625,-0.042180608958005905,-0.001944933901540935,0.034018974751234055
4,0,21,0.09740321,-0.111223914,0.010929546,3.0,-0.04375350475311279,-0.0056619769893586636,0.03646755591034889
4,0,22,0.08067563,-0.14540964,0.030585462,2.875,-0.04485960677266121,-0.004195289220660925,0.036223188042640686
4,0,23,0.095499106,-0.12802282,0.03148127,2.125,-0.046050455421209335,-0.0018126480281352997,0.03743242099881172
4,1,0,0.06787355,-0.11010807,0.031268816,2.0625,-0.0474594309926033,-0.003781281178817153,0.03964880481362343
4,1,1,0.016773555,-0.12386008,0.013500816,2.75,-0.047971684485673904,-0.004526244476437569,0.038350071758031845
4,1,2,0.014548438,-0.1272648,0.010185727,2.4375,-0.04801445081830025,-0.00444287434220314,0.03799712285399437
4,1,3,0.039314054,-0.13290384,0.014859368,2.6875,-0.048667363822460175,-0.005705483257770538,0.03871162608265877
4,1,4,0.06101803,-0.11891556,0.0044596465,1.8125,-0.04947604984045029,-0.0036678265314549208,0.039870116859674454
4,1,5,0.033913285,-0.14293489,0.010092959,2.5625,-0.050380125641822815,-0.0046316790394485,0.04176664352416992
4,1,6,0.02573997,-0.117578715,-0.0011877166,2.75,-0.050566479563713074,-0.0029291948303580284,0.04115816950798035
4,1,7,-0.014814506,-0.11672709,-0.004559599,1.5,-0.05130227282643318,-0.004429953172802925,0.04263661801815033
4,1,8,-0.04807916,-0.16412254,0.0120262215,2.6875,-0.0518321730196476,-0.004287614952772856,0.04231521859765053
4,1,9,-0.053381078,-0.1296872,-0.0020156275,1.9375,-0.05238352715969086,-0.0017223827308043838,0.042121320962905884
4,1,10,-0.08486045,-0.12703474,-0.0057689687,2.0,-0.053127702325582504,-0.003800583304837346,0.04218175262212753
4,1,11,-0.06516212,-0.122371204,-0.0122462185,2.5,-0.05331911891698837,-0.0038570892065763474,0.04122699797153473
4,1,12,-0.101600826,-0.10305623,-0.04331965,2.4375,-0.054760899394750595,-0.004670640453696251,0.04253352805972099
4,1,13,-0.09310441,-0.09700915,-0.048566643,3.0625,-0.055140864104032516,-0.005351007450371981,0.04202011227607727
4,1,14,-0.103214815,-0.067609325,-0.057480633,1.9375,-0.05594448000192642,-0.005663943011313677,0.04357530549168587
4,1,15,-0.100336894,-0.08661225,-0.046586357,2.8125,-0.05612793192267418,-0.0058456528931856155,0.04340949282050133
4,1,16,-0.11571726,-0.07126149,-0.061391655,1.625,-0.0575421042740345,-0.0048323567025363445,0.044392675161361694
4,1,17,-0.123390615,-0.08100733,-0.06931567,2.125,-0.05842011794447899,-0.004339306149631739,0.045195531100034714
4,1,18,-0.14763297,-0.1266678,-0.05641751,1.9375,-0.0589069128036499,-0.004577212501317263,0.045849889516830444
4,1,19,-0.14413193,-0.090399474,-0.08407047,2.25,-0.05991833657026291,-0.0018769258167594671,0.04615195095539093
4,1,20,-0.13800918,-0.11597992,-0.078110844,2.375,-0.060383256524801254,-0.00288989394903183,0.047059670090675354
4,1,21,-0.13376164,-0.09320635,-0.08468995,1.3125,-0.06123973801732063,-0.0013725529424846172,0.04784651845693588
4,1,22,-0.14272901,-0.10605871,-0.07906983,2.0,-0.061634138226509094,-0.0023771612904965878,0.04827446490526199
4,1,23,-0.1380278,-0.099348426,-0.07780453,2.0625,-0.061565037816762924,-0.002056261757388711,0.048108361661434174
4,2,0,-0.14768016,-0.073384754,-0.090659246,2.125,-0.062174972146749496,-0.0026668307837098837,0.048585060983896255
4,2,1,-0.16911227,-0.08731684,-0.096382424,2.0625,-0.06234230101108551,-0.002747883787378669,0.04854772984981537
4,2,2,-0.18048036,-0.05566269,-0.12363748,2.125,-0.06280551850795746,-0.0021844226866960526,0.048145174980163574
4,2,3,-0.17544153,-0.06699245,-0.12091042,2.375,-0.063667431473732,-0.003813754068687558,0.04870874062180519
4,2,4,-0.16640922,-0.06050011,-0.12211181,1.5,-0.06415463238954544,-0.002887577749788761,0.04998260363936424
4,2,5,-0.17042339,-0.061755925,-0.11997393,1.9375,-0.06438607722520828,-0.0033779090736061335,0.05057768523693085
4,2,6,-0.16312863,-0.065500185,-0.11850638,1.4375,-0.0648750588297844,-0.0029340435285121202,0.05072053521871567
4,2,7,-0.14107059,-0.07163312,-0.118906096,1.3125,-0.06514197587966919,-0.0030727109406143427,0.05140553414821625
4,2,8,-0.15098126,-0.049798913,-0.11881922,2.1875,-0.0655454695224762,-0.0025733141228556633,0.05255012586712837
4,2,9,-0.2004162,-0.07322529,-0.11317598,2.375,-0.06579158455133438,-0.0037687495350837708,0.05235099792480469
4,2,10,-0.20192935,-0.074292995,-0.11313439,1.75,-0.06513962149620056,-0.0021130468230694532,0.049492157995700836
4,2,11,-0.20478144,-0.04668015,-0.1283541,1.5625,-0.06542977690696716,-0.002336106961593032,0.04976873844861984
4,2,12,-0.22148424,-0.07782343,-0.108261295,1.4375,-0.06585139781236649,-0.0034412958193570375,0.050642937421798706
4,2,13,-0.21723041,-0.07535647,-0.113355264,2.0625,-0.06617414206266403,-0.002116187708452344,0.05076032131910324
4,2,14,-0.2229639,-0.06302027,-0.117484264,2.25,-0.06625165045261383,-0.002100129146128893,0.05109640210866928
4,2,15,-0.22809944,-0.04504462,-0.121329136,2.0625,-0.06655436009168625,-0.0026274225674569607,0.051016613841056824
4,2,16,-0.26128602,-0.03603274,-0.13459656,1.625,-0.06693633645772934,-0.003005417762324214,0.05104880407452583
4,2,17,-0.24932325,-0.019784924,-0.13691877,1.375,-0.0675264522433281,-0.003912481013685465,0.0515219047665596
4,2,18,-0.27780315,-0.037019946,-0.13402924,1.875,-0.06810405850410461,-0.003631636733189225,0.05243514105677605
4,2,19,-0.2638396,-0.070418596,-0.13027725,1.75,-0.06820023059844971,-0.0028052653651684523,0.05202691629528999
4,2,20,-0.24593927,-0.056088623,-0.13530605,1.375,-0.06875807046890259,-0.0008394626202061772,0.05227088928222656
4,2,21,-0.26759607,-0.057923876,-0.13160744,1.5625,-0.06922899931669235,-0.001444340799935162,0.0534302294254303
4,2,22,-0.25379813,-0.08676842,-0.13912056,2.0,-0.06963866204023361,-0.0006212765583768487,0.05322333797812462
4,2,23,-0.28099862,-0.093965776,-0.14770631,1.6875,-0.069668710231781,0.0006830875645391643,0.053664032369852066
4,3,0,-0.2713456,-0.052666713,-0.16130637,1.3125,-0.06974563747644424,0.001052181818522513,0.05347321927547455
4,3,1,-0.26773956,-0.044696447,-0.15864903,2.125,-0.06978274881839752,-0.0004470463318284601,0.05359388887882233
4,3,2,-0.25527993,-0.044151787,-0.15657204,1.25,-0.0699690580368042,-0.00016462139319628477,0.053587738424539566
4,3,3,-0.26332435,-0.04149701,-0.15218267,1.3125,-0.0700426697731018,0.0003860165015794337,0.05416890233755112
4,3,4,-0.25783107,-0.037196923,-0.15990025,1.75,-0.06994079798460007,0.0005200608866289258,0.05376867204904556
4,3,5,-0.26314443,-0.029809171,-0.1520166,1.5625,-0.07023110240697861,0.0002060825499938801,0.054139479994773865
4,3,6,-0.26305076,-0.040184,-0.14255248,1.5,-0.07057642191648483,3.573765206965618e-05,0.053721070289611816
4,3,7,-0.2947143,-0.0587028,-0.14178073,1.8125,-0.0708518922328949,0.0010997324716299772,0.05389494076371193
4,3,8,-0.33309233,-0.07399608,-0.15232877,1.9375,-0.07066786289215088,0.0014614749234169722,0.05297240614891052
4,3,9,-0.34101066,-0.072582,-0.15125845,2.0,-0.07059171795845032,0.0012782840058207512,0.05246783792972565
4,3,10,-0.3127731,-0.047030233,-0.16859636,2.125,-0.07102269679307938,0.0004975356278009713,0.05297049880027771
4,3,11,-0.3226974,-0.042036936,-0.16047959,1.5625,-0.07178478688001633,-0.0007210405892692506,0.05471736192703247
4,3,12,-0.3319228,-0.025369743,-0.17479245,1.5625,-0.07205012440681458,-0.0007595145143568516,0.0546344555914402
4,3,13,-0.3556002,-0.02381591,-0.18196584,1.875,-0.07214623689651489,-0.0008014289778657258,0.054428115487098694
4,3,14,-0.35304436,-0.041533045,-0.18035978,1.4375,-0.072117879986763,-0.0009901673765853047,0.05390201881527901
4,3,15,-0.32108015,-0.05201949,-0.19467966,2.0,-0.07218220084905624,0.00012775909272022545,0.05419327691197395
4,3,16,-0.3316788,-0.033501465,-0.19701211,1.25,-0.07278788089752197,0.0005722565110772848,0.05564846470952034
4,3,17,-0.32194963,-0.0139123,-0.21287498,2.0,-0.07296792417764664,-0.00011506128794280812,0.05497187003493309
4,3,18,-0.312076,-0.011607852,-0.21489447,1.4375,-0.07343599200248718,-0.00027016649255529046,0.05617119371891022
4,3,19,-0.34269345,-0.028676867,-0.2222014,1.3125,-0.0736057311296463,-0.00044755786075256765,0.057231299579143524
4,3,20,-0.3406212,-0.034122664,-0.23145866,1.9375,-0.07369391620159149,-0.0004877412866335362,0.056790564209222794
4,3,21,-0.33869153,-0.034979504,-0.23214073,1.125,-0.07368700206279755,-0.0005288150277920067,0.056833673268556595
4,3,22,-0.33885953,0.01166524,-0.25394762,1.4375,-0.07386202365159988,-0.0008760413620620966,0.05688386783003807
4,3,23,-0.34231043,0.0069258763,-0.2446181,1.625,-0.07430335879325867,-0.002145139966160059,0.057622477412223816
4,4,0,-0.33760637,-0.007719333,-0.24078527,1.5,-0.07449163496494293,-0.001564848585985601,0.05763792246580124
4,4,1,-0.33686888,0.0071426397,-0.24665253,1.875,-0.07466476410627365,-0.00047814002027735114,0.0579318106174469
4,4,2,-0.33125275,-0.0012142009,-0.24283688,1.4375,-0.07493287324905396,-0.0008590141660533845,0.058169037103652954
4,4,3,-0.3465392,0.023178214,-0.26089105,0.8125,-0.07519089430570602,-0.0006995560834184289,0.05848028138279915
4,4,4,-0.3615012,0.013405651,-0.24855813,1.6875,-0.07524896413087845,-0.0004544598050415516,0.058348722755908966
4,4,5,-0.3588238,0.010081218,-0.24658066,1.625,-0.07503102719783783,-9.934901027008891e-05,0.05745871737599373
4,4,6,-0.36220464,0.0069172056,-0.24427588,1.4375,-0.0752544030547142,0.0003743449633475393,0.05749678239226341
4,4,7,-0.35929376,0.0033588125,-0.24391986,1.125,-0.07537641376256943,0.0003968684177380055,0.05737369880080223
4,4,8,-0.3494155,0.0030267262,-0.24414326,1.4375,-0.07547282427549362,0.000781442504376173,0.05750080570578575
4,4,9,-0.3633019,0.019781018,-0.24880107,1.5625,-0.07578844577074051,0.0002487814927008003,0.058143679052591324
4,4,10,-0.37041986,0.017009612,-0.24105301,1.3125,-0.07562053948640823,-0.0005905241123400629,0.05735349282622337
4,4,11,-0.38983306,0.0037178462,-0.23364447,1.8125,-0.07563003152608871,-0.0009108299273066223,0.05681556090712547
4,4,12,-0.38778177,-0.04006834,-0.21683435,1.625,-0.07583987712860107,-0.00026921858079731464,0.05619378760457039
4,4,13,-0.3891139,-0.024399031,-0.21898465,1.4375,-0.07602357864379883,0.0019154318142682314,0.05609225481748581
4,4,14,-0.36443043,-0.015781423,-0.22606844,1.75,-0.0760984867811203,0.0016711225034669042,0.056276366114616394
4,4,15,-0.3664078,-0.020282775,-0.21441868,0.8125,-0.07676023989915848,0.0011683320626616478,0.05777984857559204
4,4,16,-0.36124745,-0.01933086,-0.21691585,1.4375,-0.07694157212972641,0.001119666383601725,0.05806107819080353
4,4,17,-0.37014332,-0.017449519,-0.22301704,1.125,-0.0767941102385521,0.0009451003279536963,0.057792164385318756
4,4,18,-0.413024,-0.041163452,-0.22838244,1.6875,-0.0767059251666069,0.001055148197337985,0.05749581754207611
4,4,19,-0.4315692,-0.056777142,-0.23035665,1.6875,-0.07683055847883224,0.002119215438142419,0.05735935643315315
4,4,20,-0.39163607,-0.04213304,-0.24908419,1.5625,-0.07658347487449646,0.0023141291458159685,0.056594450026750565
4,4,21,-0.39409098,-0.043834854,-0.24609274,1.125,-0.07693486660718918,0.0017157306428998709,0.05829186737537384
4,4,22,-0.3748672,0.0029530548,-0.265823,1.9375,-0.07700396329164505,0.0020174046512693167,0.05808761715888977
4,4,23,-0.38212308,0.010519987,-0.27257612,1.375,-0.07762820273637772,0.00099605368450284,0.05932722985744476
3,0,0,-0.37424448,0.009490967,-0.2904667,4.625,-0.07763299345970154,0.0004492589214351028,0.059167828410863876
3,0,1,-0.37120795,0.014834716,-0.2931839,3.625,-0.07868886739015579,0.003120682667940855,0.0612335279583931
3,0,2,-0.35220492,0.021670343,-0.30012354,4.0625,-0.0789717584848404,0.0042195688001811504,0.06188156455755234
3,0,3,-0.35133615,0.07942499,-0.3305306,3.6875,-0.07928171753883362,0.004375680349767208,0.06315792351961136
3,0,4,-0.3482233,0.072968125,-0.328661,3.3125,-0.07949692755937576,0.0033111085649579763,0.0638543963432312
3,0,5,-0.37737238,0.08828537,-0.34220326,2.5625,-0.07977234572172165,0.004455080721527338,0.06423714756965637
3,0,6,-0.39583656,0.11355338,-0.36926058,4.125,-0.07996666431427002,0.005007205065339804,0.06415242701768875
3,0,7,-0.39486375,0.10635447,-0.3679385,3.25,-0.08039873093366623,0.005813561845570803,0.06412845849990845
