zoom,epoch,batch_id,theta_x,theta_y,theta_z,loss,phi,gamma,rho
4,0,0,0.15755935,-0.012109791,0.019439543,5.8125,0.0,0.0,0.0
4,0,1,0.21753521,-0.020432618,0.030852424,4.25,-0.007287702988833189,-0.002810862846672535,0.011622393503785133
4,0,2,0.2483484,-0.0548569,0.030104319,4.3125,-0.01010549534112215,-0.001663672854192555,0.015507768839597702
4,0,3,0.24360381,-0.085219875,0.03662973,4.0625,-0.013879511505365372,0.0005864737322553992,0.020324142649769783
4,0,4,0.2820195,-0.08356621,0.047707234,3.8125,-0.01652740314602852,0.0010770861990749836,0.02192855067551136
4,0,5,0.23425126,-0.101982914,0.054557618,3.125,-0.019089525565505028,-0.0014689334202557802,0.025536324828863144
4,0,6,0.2185042,-0.11955916,0.05769506,4.1875,-0.020214727148413658,-0.0020680828019976616,0.02434225007891655
4,0,7,0.19157518,-0.121052906,0.06351136,3.1875,-0.022520769387483597,-0.0028290553018450737,0.025472545996308327
4,0,8,0.2093552,-0.15540355,0.0659634,2.5625,-0.024875933304429054,-0.0032166866585612297,0.02634982392191887
4,0,9,0.20547743,-0.12908274,0.068107314,3.4375,-0.02713276632130146,-0.0016802618047222495,0.026738222688436508
4,0,10,0.23237434,-0.10688946,0.055954367,4.3125,-0.0298048947006464,-0.005029281135648489,0.02708529494702816
4,0,11,0.25134343,-0.15090199,0.068288356,2.8125,-0.03205046430230141,-0.006008465308696032,0.02983081340789795
4,0,12,0.13623074,-0.1436277,0.04099789,3.375,-0.03381750360131264,-0.0027363933622837067,0.03270937129855156
4,0,13,0.1465367,-0.1525491,0.051329646,2.5,-0.033923614770174026,-0.00481209484860301,0.029336102306842804
4,0,14,0.15700261,-0.14529635,0.05157898,2.75,-0.035234399139881134,-0.004053827840834856,0.030573487281799316
4,0,15,0.12568335,-0.13713236,0.04766051,2.8125,-0.03756202012300491,-0.00571472430601716,0.033446621149778366
4,0,16,0.12398462,-0.13383305,0.055048715,2.875,-0.038741763681173325,-0.005886601749807596,0.03302592784166336
4,0,17,0.13207436,-0.12761934,0.034849834,2.625,-0.040153518319129944,-0.00541453855112195,0.03407096862792969
4,0,18,0.16484553,-0.0915506,0.010360232,3.3125,-0.04105471819639206,-0.00423612492159009,0.03499705716967583
4,0,19,0.17462185,-0.09271925,0.014616454,1.6875,-0.042444996535778046,-0.005043073557317257,0.037551067769527435
4,0,20,0.17615625,-0.08602248,0.02543248,2.5625,-0.043117593973875046,-0.0058183614164590836,0.0386672243475914
4,0,21,0.11762694,-0.10593763,0.04500745,1.75,-0.04395589232444763,-0.006808367557823658,0.03912270814180374
4,0,22,0.0844419,-0.1015405,0.04041921,2.625,-0.044425107538700104,-0.005512939300388098,0.03744398429989815
