zoom,epoch,batch_id,theta_x,theta_y,theta_z,loss,phi,gamma,rho
4,0,0,0.024684839,-0.07178224,0.012340905,1.1875,0.0,0.0,0.0
4,0,1,0.04210081,-0.13500741,0.038673118,1.3125,-0.0021851302590221167,0.0018564725760370493,0.0005773718585260212
4,0,2,0.08240214,-0.16129532,0.030297793,1.1875,-0.002064966829493642,0.003413954982534051,0.000817413441836834
4,0,3,0.109250166,-0.23243554,0.052012015,1.25,-0.002953630406409502,0.0038869394920766354,0.0015544474590569735
4,0,4,0.1242495,-0.23227032,0.059295185,1.25,-0.0032420193310827017,0.0052697318606078625,0.0019719726406037807
4,0,5,0.16385345,-0.2356037,0.07154315,1.1875,-0.0036157802678644657,0.005136262625455856,0.0022124862298369408
4,0,6,0.18392733,-0.26134062,0.087479725,1.375,-0.0047527397982776165,0.0050125205889344215,0.002781248651444912
4,0,7,0.19773117,-0.2598471,0.08762862,0.75,-0.005253370851278305,0.005334925372153521,0.00315530551597476
4,0,8,0.19726685,-0.2716314,0.09097803,0.75,-0.005376604385674,0.005147872492671013,0.0033063378650695086
4,0,9,0.2060004,-0.26285535,0.0887708,1.375,-0.00567879481241107,0.005210340954363346,0.0032973673660308123
4,0,10,0.21792084,-0.2567225,0.08509489,0.6875,-0.0056408466771245,0.0046569909900426865,0.0033688375260680914
4,0,11,0.23786928,-0.25495085,0.07177615,0.8125,-0.005747336894273758,0.004559453576803207,0.003555641043931246
4,0,12,0.23763362,-0.25411132,0.07171436,0.375,-0.005869235377758741,0.004408045671880245,0.003634605323895812
4,0,13,0.24004757,-0.25616688,0.07311416,0.875,-0.005851262714713812,0.0043634045869112015,0.003625755198299885
4,0,14,0.24795106,-0.24828734,0.06619143,0.4375,-0.005939878523349762,0.004318894352763891,0.003652435028925538
4,0,15,0.24863183,-0.24903758,0.06436276,0.75,-0.005938716232776642,0.004203213378787041,0.0037320859264582396
4,0,16,0.25258029,-0.24350004,0.06032008,1.0,-0.005866283550858498,0.004122769460082054,0.0036871095653623343
4,0,17,0.253025,-0.24156438,0.060401034,0.75,-0.005740365479141474,0.003962094429880381,0.0036511868238449097
4,0,18,0.25756982,-0.25589716,0.065084405,1.125,-0.005775385536253452,0.0038461312651634216,0.003642401657998562
4,0,19,0.2645939,-0.26141307,0.07017217,1.0625,-0.005598763003945351,0.0041137621738016605,0.0036776079796254635
4,0,20,0.28544047,-0.2621992,0.06681941,1.375,-0.00586613267660141,0.004060572478920221,0.0037672175094485283
4,0,21,0.29928875,-0.27568096,0.06858806,0.8125,-0.0062033492140471935,0.004044202156364918,0.004157915711402893
4,0,22,0.29886237,-0.27205724,0.06766274,0.625,-0.006576736457645893,0.0041877799667418,0.004370727576315403
