zoom,epoch,batch_id,theta_x,theta_y,theta_z,loss,phi,gamma,rho
4,0,0,0.30213124,-0.2518379,0.14725411,5.5625,0.0,0.0,0.0
4,0,1,0.27923027,-0.03514094,0.08656602,3.8125,-0.01814407855272293,0.003932048100978136,0.02326025813817978
4,0,2,0.30530778,-0.2764989,0.1454205,3.5625,-0.02653558738529682,-0.01943500153720379,0.02873586304485798
4,0,3,0.09537507,-0.12827097,0.039307497,3.3125,-0.03325675055384636,0.001813446986488998,0.03444242477416992
4,0,4,0.14423124,-0.1910563,0.054811414,3.0,-0.03551265969872475,-0.008125879801809788,0.02810942381620407
4,0,5,0.10139282,-0.20144406,0.06837121,2.3125,-0.04010232165455818,-0.0064316801726818085,0.03154505789279938
4,0,6,0.15191977,-0.119500384,-0.025177246,2.875,-0.04379116743803024,-0.006775142624974251,0.0325925275683403
4,0,7,0.06562534,-0.14879146,-0.011514474,2.25,-0.047503482550382614,-0.011810646392405033,0.04133497551083565
4,0,8,0.04897311,-0.12664877,-0.062361363,2.5,-0.04880424216389656,-0.005250925663858652,0.0361027754843235
4,0,9,-0.0790976,-0.11757435,-0.058515158,2.25,-0.05053325369954109,-0.006541610229760408,0.04071150720119476
4,0,10,0.08200258,-0.092152916,-0.0621388,2.3125,-0.051942240446805954,-0.006489207036793232,0.03759574517607689
4,0,11,-0.054817397,-0.13586596,-0.0677213,1.5,-0.057016126811504364,-0.004754276946187019,0.05012870952486992
4,0,12,-0.054750614,-0.074438356,-0.11035296,2.5625,-0.05726851150393486,-0.0012334067141637206,0.044157907366752625
4,0,13,-0.10088867,-0.07677443,-0.087692514,1.9375,-0.06016015633940697,-0.0027282272931188345,0.04790308326482773
4,0,14,-0.0693908,-0.05652177,-0.076854736,2.0625,-0.06109141930937767,-0.0005463992711156607,0.04717384651303291
4,0,15,-0.1872416,-0.0008773447,-0.08167636,1.5,-0.06326950341463089,-0.0005703865899704397,0.050919611006975174
4,0,16,-0.15023778,0.04209507,-0.093503326,1.5625,-0.06264925748109818,-0.0015963410260155797,0.04761122539639473
4,0,17,-0.24847662,-0.060868375,-0.0901925,1.75,-0.06546161323785782,-0.0048615578562021255,0.05263382941484451
4,0,18,-0.26977047,-0.042655736,-0.13110061,2.5625,-0.06552174687385559,0.00042672251584008336,0.04915972054004669
4,0,19,-0.2983938,-0.11376625,-0.126101,2.1875,-0.06597685813903809,0.00024963507894426584,0.04847590997815132
4,0,20,-0.2687745,-0.016103288,-0.17328957,2.125,-0.06647372245788574,0.000404077727580443,0.04977443069219589
4,0,21,-0.29220894,0.010499539,-0.19181281,1.9375,-0.06844187527894974,-0.0036089392378926277,0.0539146289229393
4,0,22,-0.33224988,0.0041820924,-0.18411577,2.0625,-0.07017312943935394,-0.00414462573826313,0.054538097232580185
4,0,23,-0.29611316,-0.0017361654,-0.169602,1.375,-0.0702921599149704,-0.0017349912086501718,0.052968621253967285
4,1,0,-0.34284976,0.012504305,-0.16918406,2.25,-0.07143658399581909,-0.000907080015167594,0.05623447895050049
4,1,1,-0.28399944,0.094487414,-0.19956571,2.625,-0.07096092402935028,-0.003308175364509225,0.052604421973228455
4,1,2,-0.29879674,0.07099122,-0.19742894,1.375,-0.07249180972576141,-0.00303853303194046,0.05687466263771057
4,1,3,-0.4011272,-0.01975138,-0.20480798,1.5,-0.07271674275398254,-0.0018942122114822268,0.0571875162422657
4,1,4,-0.32788604,0.055004675,-0.2886726,1.8125,-0.07216589897871017,0.0013908888213336468,0.05510782077908516
4,1,5,-0.34028816,0.027521743,-0.25571245,1.375,-0.07426594942808151,0.0007474973099306226,0.05976947396993637
4,1,6,-0.38549325,0.032403685,-0.27068484,1.25,-0.07477538287639618,0.00267083034850657,0.05878804251551628
4,1,7,-0.39118367,0.02249271,-0.29444957,1.75,-0.07480161637067795,0.0039234221912920475,0.05680878087878227
4,1,8,-0.37086597,-0.022125626,-0.28235057,1.4375,-0.0741739496588707,0.004404375329613686,0.0568334199488163
4,1,9,-0.39838094,-0.08884328,-0.22559397,1.5,-0.07561294734477997,0.006847775541245937,0.05797857046127319
4,1,10,-0.423541,-0.0030593842,-0.2785118,1.8125,-0.07572434842586517,0.009183545596897602,0.05733084678649902
4,1,11,-0.49885607,0.028648583,-0.3100232,1.5,-0.07666724175214767,0.00391198368743062,0.05795885622501373
4,1,12,-0.49515334,-0.07316638,-0.25838235,1.4375,-0.07684750109910965,0.0009370839688926935,0.05653741583228111
4,1,13,-0.5017766,-0.04656546,-0.2833106,1.875,-0.07765451073646545,0.0043760035187006,0.057917963713407516
4,1,14,-0.43492162,-0.019556468,-0.25705257,2.0625,-0.07823600620031357,0.0035456852056086063,0.059152934700250626
4,1,15,-0.45331028,-0.008613144,-0.2561734,1.25,-0.08001621067523956,0.004227714613080025,0.062067676335573196
4,1,16,-0.45540935,-0.019994413,-0.24310502,1.1875,-0.0800108015537262,0.003291625762358308,0.06158614531159401
4,1,17,-0.38904923,0.048083853,-0.31231582,1.3125,-0.08021674305200577,0.004224781878292561,0.06144249811768532
4,1,18,-0.40477437,0.015019723,-0.30509833,1.0625,-0.08064442127943039,0.0002939856785815209,0.06318344175815582
4,1,19,-0.41506177,-0.0052814637,-0.29130614,1.0625,-0.08067327737808228,0.001919671893119812,0.06264883279800415
4,1,20,-0.39755043,0.009566225,-0.29855534,0.875,-0.08042261749505997,0.0029818625189363956,0.0615212619304657
4,1,21,-0.43276143,0.079368055,-0.29558104,1.5625,-0.07991784065961838,0.0010445588268339634,0.06030530482530594
4,1,22,-0.4554719,0.016776053,-0.26441258,1.625,-0.0804222971200943,-0.00031075894366949797,0.06089000031352043
4,1,23,-0.39277664,0.06590625,-0.28734368,0.9375,-0.08062496036291122,0.00421510823071003,0.059115175157785416
4,2,0,-0.35953993,0.13669923,-0.30535614,0.625,-0.08112592995166779,0.0023954049684107304,0.06213962286710739
4,2,1,-0.39582166,0.1265075,-0.3123351,1.375,-0.08164986222982407,0.0015606459928676486,0.063299760222435
4,2,2,-0.40929502,0.10044487,-0.29643607,1.0625,-0.08125720173120499,0.0022120983339846134,0.06164697930216789
4,2,3,-0.3996196,0.08234796,-0.3003939,1.0625,-0.08168410509824753,0.003930952399969101,0.061152324080467224
4,2,4,-0.40981543,0.04581898,-0.2859642,2.25,-0.08157960325479507,0.004709212109446526,0.06143003702163696
4,2,5,-0.385258,0.08795547,-0.3275578,1.3125,-0.08172189444303513,0.006868088152259588,0.06030253320932388
4,2,6,-0.3960697,0.0778932,-0.3218972,0.9375,-0.08134913444519043,0.005555228795856237,0.060634907335042953
