zoom,epoch,batch_id,theta_x,theta_y,theta_z,loss,phi,gamma,rho
4,0,0,0.09644707,-0.062420405,0.009697943,4.75,0.0,0.0,0.0
4,0,1,0.15229994,-0.06495482,0.023167055,4.8125,-0.005842799320816994,0.0015475539257749915,0.008874724619090557
4,0,2,0.2476533,0.0038073014,0.014592997,4.75,-0.009828408248722553,-0.002258600667119026,0.013083712197840214
4,0,3,0.27525544,0.0045077526,0.022121591,3.0625,-0.014007204212248325,-0.007173634134232998,0.020383557304739952
4,0,4,0.285161,-0.07969953,0.044481803,3.9375,-0.016844334080815315,-0.007811814546585083,0.024505391716957092
4,0,5,0.24545226,-0.11316752,0.049866613,3.375,-0.019612545147538185,-0.003456423059105873,0.025785187259316444
4,0,6,0.240619,-0.13163638,0.049212407,3.375,-0.02104661986231804,-0.0023673097603023052,0.024694865569472313
4,0,7,0.21244039,-0.14663945,0.03970869,3.4375,-0.023576775565743446,-0.0034851760137826204,0.025369515642523766
4,0,8,0.23946907,-0.10322608,0.020653686,2.8125,-0.025258006528019905,-0.0037887636572122574,0.027086695656180382
4,0,9,0.22275986,-0.09013167,0.012855774,3.25,-0.02712179906666279,-0.0054352241568267345,0.029615452513098717
4,0,10,0.19899936,-0.08317794,0.01656221,2.6875,-0.028979135677218437,-0.004191970452666283,0.02918291464447975
4,0,11,0.17776199,-0.14025399,0.03599892,4.0625,-0.029682422056794167,-0.004993494600057602,0.028151782229542732
4,0,12,0.1408029,-0.06823132,-0.021985525,3.25,-0.030955344438552856,-0.0008642194443382323,0.02756090834736824
4,0,13,0.13748561,-0.07815394,-0.031325534,3.625,-0.03245897963643074,-0.0039102849550545216,0.02805924043059349
4,0,14,0.11554959,-0.094759576,-0.020960763,3.1875,-0.03397870063781738,-0.0025342614389955997,0.028333300724625587
4,0,15,0.062463213,-0.083899,-0.015398563,3.0625,-0.03543490916490555,-0.0015180525369942188,0.028051132336258888
4,0,16,0.066059634,-0.0884036,-0.02063126,2.5625,-0.03697878122329712,-0.0029271147213876247,0.027903085574507713
