zoom,epoch,batch_id,theta_x,theta_y,theta_z,loss,phi,gamma,rho
4,0,0,0.038615473,-0.02446803,0.007380437,5.3125,0.0,0.0,0.0
4,0,1,0.07079437,-0.02739339,0.009439357,4.4375,-0.001857064664363861,-0.0002131834626197815,0.0027429598849266768
4,0,2,0.097602844,-0.03534786,0.022992814,6.1875,-0.003290534485131502,-0.0004909468116238713,0.005086422897875309
4,0,3,0.1229608,-0.027455615,0.020357165,4.75,-0.005389808211475611,-0.0010329841170459986,0.0065142689272761345
4,0,4,0.1401642,-0.030105472,0.019937731,4.0,-0.006880516652017832,-0.0029131374321877956,0.008489908650517464
4,0,5,0.16085717,-0.035094164,0.027743313,4.1875,-0.00819360464811325,-0.0028707629535347223,0.010696910321712494
4,0,6,0.16582622,-0.043140836,0.031901617,4.25,-0.009260429069399834,-0.003228136571124196,0.012179297395050526
4,0,7,0.1766971,-0.045666635,0.034443974,4.0625,-0.010142779909074306,-0.0027147121727466583,0.012860182672739029
4,0,8,0.19204108,-0.046036262,0.036685493,3.625,-0.01133804302662611,-0.002719581127166748,0.014322620816528797
4,0,9,0.20624867,-0.066583395,0.044960093,4.5625,-0.012000967748463154,-0.00262613408267498,0.015246509574353695
4,0,10,0.21127208,-0.05967925,0.04483352,4.5,-0.013285115361213684,-0.0006901358719915152,0.016411492601037025
4,0,11,0.21923973,-0.056189667,0.043801334,3.375,-0.01469876617193222,-0.0021424591541290283,0.017640044912695885
4,0,12,0.22753833,-0.064117454,0.044147007,4.0625,-0.015567134134471416,-0.0022943841759115458,0.018683267757296562
4,0,13,0.2265918,-0.057611022,0.04421159,3.75,-0.016339914873242378,-0.0018216543830931187,0.019703373312950134
4,0,14,0.23559314,-0.06338597,0.047854044,3.5625,-0.017222894355654716,-0.002283310517668724,0.020279360935091972
4,0,15,0.23877852,-0.07173527,0.0522039,3.875,-0.01824173517525196,-0.00214598560705781,0.02123326063156128
4,0,16,0.24168643,-0.063033156,0.044342384,3.5,-0.019202038645744324,-0.002166264457628131,0.02207500860095024
4,0,17,0.24150981,-0.06233754,0.040352255,2.75,-0.020049767568707466,-0.0034632200840860605,0.0228589940816164
4,0,18,0.25130767,-0.060404766,0.043190252,4.5,-0.02080116979777813,-0.003907185513526201,0.02368781901896
4,0,19,0.25859702,-0.060551796,0.04042087,3.3125,-0.02171354740858078,-0.0040571135468780994,0.024732640013098717
4,0,20,0.25800171,-0.06527515,0.04154658,3.3125,-0.022601982578635216,-0.003809234593063593,0.025612983852624893
4,0,21,0.24602121,-0.0793755,0.04377226,4.0,-0.023241350427269936,-0.00379446754232049,0.025636542588472366
4,0,22,0.24512093,-0.09149092,0.046227545,3.9375,-0.023776577785611153,-0.0031789967324584723,0.02570744790136814
4,0,23,0.24548264,-0.09221757,0.047523767,2.75,-0.024288702756166458,-0.002407629042863846,0.025967800989747047
4,1,0,0.24502678,-0.08416671,0.044539202,3.3125,-0.02471156232059002,-0.0027072967495769262,0.026270791888237
4,1,1,0.24337038,-0.072407186,0.04285282,3.4375,-0.02541363425552845,-0.003484694054350257,0.026717249304056168
4,1,2,0.24698478,-0.07936637,0.045200933,3.0625,-0.026113122701644897,-0.0049971905536949635,0.027016788721084595
4,1,3,0.23317741,-0.08720852,0.05456025,4.125,-0.02665180154144764,-0.005002154968678951,0.02753405272960663
4,1,4,0.23275436,-0.094967216,0.05658811,2.5,-0.02729579620063305,-0.004295382648706436,0.02722279354929924
4,1,5,0.23155053,-0.101658374,0.057427257,3.625,-0.0277475044131279,-0.0035862040240317583,0.027462152764201164
4,1,6,0.23211919,-0.106561616,0.058520943,3.0,-0.028125006705522537,-0.0030803605914115906,0.02767038159072399
4,1,7,0.23801012,-0.105949864,0.061596133,3.0625,-0.028624918311834335,-0.002738054608926177,0.02827364206314087
4,1,8,0.23520598,-0.10475597,0.06288407,3.0625,-0.02928042598068714,-0.003510830458253622,0.029200073331594467
4,1,9,0.22583541,-0.09788122,0.053932525,3.1875,-0.03005053848028183,-0.0040891217067837715,0.02929120697081089
4,1,10,0.22807989,-0.09390735,0.04933929,2.9375,-0.030369486659765244,-0.004703972488641739,0.029378877952694893
4,1,11,0.21906161,-0.08458395,0.045915455,2.125,-0.030835546553134918,-0.004841712303459644,0.02982754074037075
4,1,12,0.21046323,-0.096012115,0.05002369,3.1875,-0.031098857522010803,-0.005204578395932913,0.029845410957932472
4,1,13,0.2162263,-0.09550423,0.05061478,3.9375,-0.031626004725694656,-0.004720452707260847,0.029812835156917572
4,1,14,0.2018836,-0.111061156,0.057932846,2.75,-0.032386839389801025,-0.004413718823343515,0.030630813911557198
4,1,15,0.20644341,-0.11577025,0.058912225,2.875,-0.03277924284338951,-0.00377004430629313,0.03055540844798088
